Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Comoras,COM,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,34.92745836,34.92745836,34.92745836,34.92745836,34.92745836,34.92745836,34.92745836,35.46480387,35.46480387,,,
Cabo Verde,CPV,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,12.40694789,12.40694789,13.64764268,13.64764268,12.40694789,12.40694789,12.40694789,12.40694789,12.40694789,,,
Costa Rica,CRI,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,4.406580494,4.543674109,4.543674109,4.543674109,4.406580494,4.964747356,5.238934587,4.925577752,4.945162554,,,
Estados pequeos del Caribe,CSS,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,1.824132395,1.827837471,1.817957268,1.836482648,1.847597876,1.869828331,1.867358281,1.86488823,1.86488823,,,
Cuba,CUB,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,31.79255919,31.07904513,29.39455597,30.2859336,29.68631032,28.95004803,28.73125721,28.02119461,28.02119461,,,
Curacao,CUW,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,,,,,,,,,,,,
Islas Caimán,CYM,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,,,
Chipre,CYP,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,8.939393939,9.090909091,9.285714286,8.628787879,8.677489177,10.64718615,8.831168831,10.20887446,11.25595238,,,
República Checa,CZE,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,41.0538581,40.96323149,40.87789719,32.38798239,32.23258223,32.24970859,32.25848226,32.32741873,32.1761658,,,
Alemania,DEU,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,33.98456551,34.06873996,33.95306134,34.04035772,34.01834336,33.95631485,33.66727731,33.6949366,33.57662144,,,
Djibouti,DJI,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,0.069025022,0.086281277,0.086281277,0.086281277,0.086281277,0.086281277,0.086281277,0.086281277,0.086281277,,,
Dominica,DMA,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,8,8,8,8,8,8,8,8,8,,,
Dinamarca,DNK,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,57.05868489,58.89700683,60.45,60.19,60.8,58.791275,59.346475,59.258875,59.8,,,
República Dominicana,DOM,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,16.55971848,16.55971848,16.55971848,16.55971848,16.55971848,18.15359139,18.15359139,18.15359139,18.15359139,,,
Argelia,DZA,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,3.149798047,3.149798047,3.151687422,3.147362852,3.136110575,3.133044273,3.108734325,3.136700044,3.151063445,,,
Asia oriental y el Pacífico (excluido altos ingresos),EAP,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,12.14130279,12.10018859,12.11573028,12.11857159,12.12254766,12.19219003,12.22475038,12.2956005,12.2937883,,,
inicial del dividendo demográfico,EAR,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,12.89457133,12.9023546,12.8950206,12.88214362,12.85015195,12.90467296,12.98368688,13.07058412,13.05386143,,,
Asia oriental y el Pacífico,EAS,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,9.254147277,9.479905383,9.490230699,9.475038775,9.508189597,9.512589221,9.494940258,9.565578483,9.571705132,,,
